name,nationality,birth_date,height,hand,rank,position,prize_money_year,prize_money_total,residence,birthplace,best_rank
Illya Marchenko,UKR,8 Sep 1987,1.85,Right-Handed,278,214,18.1K €,1.7M €,"Donetsk, Ukraine","Dneprodzerzhinsk, Ukraine",49 in 26/09/2016
Corentin Denolly,FRA,6 Jun 1997,1.85,Left-Handed,128,337,3.7K €,112.7K €,"Paris, France","Vienne, France",289 in 25/11/2019
Mats Rosenkranz,GER,23 Aug 1998,1.93,Left-Handed,49,571,5K €,32.6K €,"Essen, Germany","Essen, Germany",574 in 30/09/2019
Camilo Ugo Carabelli,ARG,17 Jun 1999,1.85,Right-Handed,120,351,4.9K €,49.1K €,Argentina,"Buenos Aires, Argentina",349 in 15/10/2018
Edan Leshem,ISR,19 Mar 1997,1.83,Right-Handed,110,371,2.9K €,102.4K €,Israeli,"New York, NY, USA",249 in 18/12/2017
Guilherme Clezar,BRA,31 Dec 1992,1.8,Right-Handed,203,270,8.9K €,511.7K €,"Porto Alegre, Brazil","Porto Alegre, Brazil",153 in 03/08/2015
Andrey Rublev,RUS,20 Oct 1997,1.88,Right-Handed,4119,8,1M €,4.8M €,"Moscow, Russia","Moscow, Russia",12 in 14/09/2020
Mohd Assri Merzuki,,,,,,,,,,,
Marsel Ilhan,TUR,11 Jun 1987,1.91,Right-Handed,48,573,722 €,1.1M €,"Istanbul, Turkey","Samarkand, Uzbekistan",77 in 02/03/2015
Mikhail Youzhny,RUS,25 Jun 1982,1.83,Right-Handed,,,,11.9M €,"Moscow, Russia","Moscow, Russia",
Christian Lakoseljac,,,,,,,,,,,
Gregoire Jacq,FRA,9 Nov 1992,1.8,Left-Handed,27,719,,98.5K €,"Villiers sur Morin, France","Clermont Ferrand, France",332 in 29/10/2018
Maxim Dubarenco,BLR,24 Jun 1993,,,,,,60.8K €,,,
Dennis Novak,AUT,28 Aug 1993,1.83,Right-Handed,737,96,293K €,939.3K €,"Neufeld, Austria","Wiener Neustadt, Austria",85 in 02/03/2020
Sonchat Ratiwatana,,,,,,,,,,,
Matwe Middelkoop,NED,3 Sep 1983,1.91,Right-Handed,,,,771.7K €,"Breda, The Netherlands","Leerdam, The Netherlands",
John-Patrick Smith,AUS,24 Jan 1989,1.88,Left-Handed,143,311,55.8K €,1.1M €,"Townsville, Australia","Townsville, Australia",108 in 28/09/2015
Santiago González,,,,,,,,,,,
Alexander Sarkissian,USA,3 Apr 1990,1.91,Right-Handed,88,426,3K €,219.4K €,"Glendale, CA, USA","Glendale, CA, USA",157 in 04/04/2016
Tim Puetz,GER,19 Nov 1987,1.85,Right-Handed,,,6.9K €,419.6K €,"Usingen, Germany","Frankfurt, Germany",
Ivan Gakhov,RUS,4 Nov 1996,1.91,Left-Handed,65,506,1.8K €,114.4K €,"Barcelona,Spain","Moscow, Russia",275 in 09/10/2017
Andras Szekely,,,,,,,,,,,
Akash Wagh,,,,,,,,,,,
Yannick Jankovits,FRA,6 Jan 1987,,Right-Handed,,,358 €,119.7K €,,,
Ivan Endara,ECU,4 Mar 1988,,Right-Handed,,,,104.4K €,Ecuador,"Quito, Ecuador",
Blaž Rola,SLO,5 Oct 1990,1.93,Left-Handed,417,151,25K €,744.3K €,"Ptuj, Slovenia","Ptuj, Slovenia",78 in 05/01/2015
Gustavo Teisen Pereira,,,,,,,,,,,
Roberto Carballés Baena,ESP,23 Mar 1993,1.83,Right-Handed,703,102,176.4K €,1.6M €,"Granada, Spain","Tenerife, Spain",72 in 19/02/2018
Petros Chrysochos,CYP,8 Apr 1996,1.85,Right-Handed,101,394,4.2K €,45.5K €,Larnaca,"Larnaca, Cyrprus",378 in 24/12/2018
Rubin Statham,NZL,25 Apr 1987,1.8,Right-Handed,,,,255.7K €,"Auckland, New Zealand","Westminster, Great Britain",
Dmytro Badanov,,,,,,,,,,,
Federico Gaio,ITA,5 Mar 1992,1.8,Right-Handed,474,137,85.1K €,530K €,"Faenza, Italy","Faenza, Italy",124 in 03/02/2020
Kenny De Schepper,FRA,29 May 1987,2.03,Left-Handed,31,683,1.6K €,1.4M €,"Toulouse, France","Bordeaux, France",62 in 07/04/2014
Fabrice Martin,FRA,11 Sep 1986,1.98,Right-Handed,,,217 €,820.3K €,"Bradenton, FL, USA","Bayonne, France",
Simon Carr,IRL,7 Nov 1999,1.83,Right-Handed,57,539,6K €,35.8K €,"Mullingar, Ireland","Dublin, Ireland",512 in 03/02/2020
Luke Bambridge,GBR,21 Jan 1995,1.91,Right-Handed,,,,197.5K €,"Nottingham, England","Nottingham, England",
Marcos Baghdatis,CYP,17 Jun 1985,1.78,Right-Handed,,,,7.4M €,"Limassol, Cyprus","Limassol, Cyprus",
Guillermo Durán,ARG,6 Jun 1988,1.78,Right-Handed,,,,344.8K €,"Tucuman, Argentina","Tucuman, Argentina",
Xi Qi,,,,,,,,,,,
Luca Nardi,ITA,6 Aug 2003,,,20,802,3.4K €,5.6K €,,,906 in 31/08/2020
Siyu Liu,,,,,,,,,,,
Boris Pashanski,SRB,3 Nov 1982,1.8,Right-Handed,,,,698K €,Malta,"Belgrade, Serbia",
Hugo Schott,FRA,5 Sep 1996,,,13,946,650 €,19.3K €,,,897 in 09/12/2019
Arthur Cazaux,FRA,23 Aug 2002,1.83,Right-Handed,15,892,3.4K €,7.3K €,,Montpellier,916 in 14/09/2020
Toni Androic,CRO,28 Dec 1991,1.68,Right-Handed,,,,125.2K €,"Zagreb, Croatia","Pula, Croatia",
Joshua Goodall,,,,,,,,,,,
João Menezes,BRA,17 Dec 1996,1.85,Right-Handed,331,196,25K €,127.1K €,"Uberaba, Brazil","Uberaba, Brazil",172 in 17/02/2020
Zach Itzstein,AUS,2 Sep 1988,1.78,Right-Handed,,,,10.9K €,"Perth, Australia","Perth, Australia",
