name,nationality,birth_date,height,hand,rank,position,prize_money_year,prize_money_total,residence,birthplace,best_rank
Toshihide Matsui,JPN,19 Apr 1978,1.78,Right-Handed,21,789,217 €,277.5K €,Japan,"Osaka, Japan",261 in 12/06/2006
Boris Fassbender,FRA,20 Mar 1998,,,5,1234,217 €,9.5K €,,,1195 in 17/02/2020
Nikola Milojević,SRB,19 Jun 1995,1.88,Right-Handed,472,138,156.7K €,480.2K €,"Belgrade, Serbia","Belgrade, Serbia",137 in 13/05/2019
Norbert Gombos,SVK,13 Aug 1990,1.93,Right-Handed,789,88,302K €,1M €,"Bratislava, Slovakia","Galanta, Slovakia",80 in 02/10/2017
Andrea Basso,ITA,8 Oct 1993,1.85,Left-Handed,45,589,215 €,95.8K €,Genova,"Genoa, Italy",301 in 23/04/2018
Govind Nanda,USA,17 Feb 2001,1.78,Right-Handed,27,718,1.5K €,24.6K €,Cerritos,Loma linda,531 in 23/12/2019
Blake Mott,AUS,21 Apr 1996,1.8,Right-Handed,74,467,21.8K €,147.2K €,"Melbourne, Australia","Caringbah, Australia",220 in 12/06/2017
Nick Kyrgios,AUS,27 Apr 1995,1.93,Right-Handed,1170,45,449.7K €,7.1M €,"Nassau, Bahamas","Canberra, Australia",13 in 24/10/2016
Arnaud Bovy,BEL,17 Sep 2000,,Left-Handed,46,588,1.3K €,17K €,,,570 in 13/01/2020
Natan Rodrigues,,,,,,,,,,,
Nico Matic,GER,1 Jan 1992,1.78,Right-Handed,,,,18.6K €,"Hamburg, Germany","Hamburg, Germany",
Maxime Hamou,FRA,8 Jun 1995,1.85,Right-Handed,112,365,3K €,162.3K €,"Paris, France","Nimes, France",211 in 27/07/2015
Andreas Seppi,ITA,21 Feb 1984,1.91,Right-Handed,689,105,209.2K €,9.1M €,"Caldaro, Italy","Bolzano, Italy",18 in 28/01/2013
Artem Sitak,,,,,,,,,,,
Robin Olin,,,,,,,,,,,
Mathias Bourgue,FRA,18 Jan 1994,1.88,Right-Handed,281,213,42.2K €,464K €,"Avignon, France","Avignon, France",140 in 24/04/2017
Manuel Pena Lopez,ARG,10 Feb 1998,1.8,Right-Handed,88,428,4.8K €,54.5K €,"Mendoza, Argentina","Mendoza, Argentina",395 in 17/02/2020
Joe Cooper,,,,,,,,,,,
Philip Davydenko,RUS,2 Sep 1992,1.83,Right-Handed,,,,46.2K €,"Bedburg, Germany","Volgograd, Russia",
Ernesto Escobedo,USA,4 Jul 1996,1.85,Right-Handed,329,198,112.2K €,825.2K €,"West Covina, CA, USA","Los Angeles, CA, USA",67 in 17/07/2017
Yibing Wu,CHN,14 Oct 1999,1.83,Right-Handed,15,883,,159.6K €,"Hangzhou, China","Hangzhou, China",298 in 18/03/2019
Gonzalo Lama,CHI,27 Apr 1993,1.8,Right-Handed,26,730,3.9K €,143.6K €,"Santiago, Chile","Santiago, Chile",160 in 20/06/2016
Bulgaria,,,,,,,,,,,
Enzo Couacaud,FRA,1 Mar 1995,1.83,Right-Handed,287,211,33.4K €,262.9K €,France,"Curepipe, Mauritius",164 in 29/07/2019
Lucas Catarina,MON,26 Aug 1996,1.85,Right-Handed,90,421,6.4K €,97.5K €,Monaco,Monaco,341 in 11/06/2018
Timofey Skatov,KAZ,21 Jan 2001,1.73,Right-Handed,83,442,5.4K €,18.8K €,"Astana, Kazakhstan",Petropavlovsk,472 in 28/09/2020
Yen-Hsun Lu,TPE,14 Aug 1983,1.8,Right-Handed,10,996,69.5K €,4.1M €,"Taipei, Chinese Taipei","Taipei, Chinese Taipei",33 in 01/11/2010
Donald Young,USA,23 Jul 1989,1.83,Left-Handed,135,322,15.7K €,3.9M €,"Atlanta, GA, USA","Chicago, IL, USA",38 in 27/02/2012
Masato Shiga,JPN,8 Aug 1991,,,,,,34.4K €,,,
Grzegorz Panfil,POL,1 Jan 1988,1.83,Left-Handed,,,,171.8K €,"Ustron, Poland","Zabrze, Poland",
Neil Pauffley,GBR,29 Mar 1990,1.88,Right-Handed,,,1.2K €,65.2K €,"Maidenhead, England","Slough, England",
Radu Albot,MDA,11 Nov 1989,1.75,Right-Handed,772,93,181.4K €,2.8M €,"Chisinau, Moldova","Chisinau, Moldova",39 in 05/08/2019
Andres Molteni,ARG,15 Mar 1988,1.8,Right-Handed,,,,559.1K €,"Buenos Aires, Argentina","Buenos Aires, Argentina",
Marc Rath,,,,,,,,,,,
Tim Van Rijthoven,NED,24 Apr 1997,1.88,Right-Handed,124,343,2.5K €,63.7K €,Roosendaal,"Roosendaal, The Netherlands",285 in 13/01/2020
Maverick Banes,AUS,10 Apr 1992,,Right-Handed,62,519,1.9K €,179.6K €,,,216 in 27/08/2018
Jonathan Ho,,,,,,,,,,,
Alexey Vatutin,RUS,2 Jul 1991,1.83,Right-Handed,218,252,130 €,60.1K €,"Volgograd, Russia","Hamm, Germany",306 in 19/06/2017
Dmitry Surchenko,RUS,2 May 1990,1.88,Left-Handed,,,,16.1K €,"Moscow, Russia","Moscow, Russia",
Robin Staněk,CZE,3 Jan 1995,1.88,Left-Handed,38,624,2K €,67.9K €,"Prague, Czech Republic","Prague, Czech Republic",258 in 12/09/2016
Wilson Leite,BRA,6 Nov 1991,1.78,Right-Handed,62,522,2.1K €,106.3K €,"Rio de Janeiro, Brazil","Rio de Janeiro, Brazil",341 in 14/04/2014
Erik Crepaldi,ITA,4 May 1990,,Left-Handed,47,581,130 €,119.3K €,"Vercelli, Italy","Vercelli, Italy",282 in 14/09/2015
Dimitar Kuzmanov,BUL,28 Jul 1993,1.83,Right-Handed,166,294,81.8K €,210.8K €,"Plovdiv, Bulgaria","Plovdiv, Bulgaria",250 in 17/12/2018
Matteo Viola,ITA,7 Jul 1987,1.85,Right-Handed,256,222,43.7K €,610.7K €,"Marghera-Venice, Italy","Mestre-Venice, Italy",118 in 18/03/2013
Gianni Mina,FRA,9 Feb 1992,1.88,Right-Handed,13,934,712 €,134.5K €,"Paris, France","Les Abymes, Guadeloupe",219 in 25/05/2015
Andrey Golubev,KAZ,22 Jul 1987,1.8,Right-Handed,23,764,217 €,2.3M €,"Astana, Kazakhstan","Volzhskij, Russia",33 in 04/10/2010
Michael Berrer,GER,1 Jul 1980,1.93,Left-Handed,,,,2.3M €,"Stuttgart, Germany","Stuttgart, Germany",
Pavel Shchaya-Zubrov,,,,,,,,,,,
Zhicheng Zhu,,,,,,,,,,,
Mile Čilić,,,,,,,,,,,
Sarp Agabigun,TUR,12 Jun 1997,1.78,Right-Handed,12,953,130 €,40.9K €,,"Istanbul, Turkey",831 in 16/10/2017
Takeaki Ito,,,,,,,,,,,
Carlos Taberner,ESP,8 Aug 1997,1.83,Right-Handed,416,152,41.2K €,197.4K €,"Valencia, Spain","Valencia, Spain",148 in 21/09/2020
Javier Marti,ESP,11 Jan 1992,,Right-Handed,20,801,1.8K €,314.6K €,,,170 in 23/04/2012
Tim Smyczek,USA,30 Dec 1987,1.75,Right-Handed,65,501,,1.7M €,"Dallas, TX, USA","Milwaukee, WI, USA",68 in 06/04/2015
J.J. Wolf,USA,21 Dec 1998,1.83,Right-Handed,519,127,194K €,268.4K €,"Cincinnati, OH","Cincinnati, OH, USA",120 in 14/09/2020
Daniel Smethurst,GBR,13 Oct 1990,1.88,Right-Handed,,,,155.4K €,"Manchester, Great Britain","Oldham, Great Britain",
Aliaksandr Bury,BLR,14 Sep 1987,2.03,Right-Handed,,,,237.5K €,"Minsk, Belarus","Minsk, Belarus",
Jia Cheng Zhu,,,,,,,,,,,
Reilly Opelka,USA,28 Aug 1997,2.11,Right-Handed,1402,39,288.2K €,1.7M €,"West Palm Beach, FL, USA","St. Joseph, MI, USA",31 in 28/10/2019
Zhao Zhao,,,,,,,,,,,
Syed Mohd Agil Syed Naguib,,,,,,,,,,,
Fajing Sun,CHN,3 Oct 1996,1.78,Right-Handed,99,399,433 €,110.1K €,Beijing,"Beijing , China",351 in 10/02/2020
Gerald Melzer,AUT,13 Jul 1990,1.88,Left-Handed,7,1094,,733.3K €,"Vienna, Austria","Vienna, Austria",68 in 21/11/2016
Jürgen Melzer,AUT,22 May 1981,1.83,Left-Handed,3,1339,,8.8M €,"Deutsch-Wagram, Austria","Vienna, Austria",8 in 18/04/2011
Blaž Kavčič,SLO,5 Mar 1987,1.88,Right-Handed,203,268,37K €,1.6M €,"Dubai, UAE","Ljubljana, Slovenia",68 in 06/08/2012
Stéphane Robert,FRA,17 May 1980,1.85,Right-Handed,15,891,6.8K €,2M €,"Valletta, Malta","Montargis, France",50 in 24/10/2016
Rashed Nawaf,,,,,,,,,,,
Gary Kushnirovich,USA,20 Jun 1991,1.93,Right-Handed,,,,9.4K €,"Brooklyn, New York","Brooklyn, New York",
Brian Baker,USA,30 Apr 1985,1.91,Right-Handed,,,,987.2K €,"Nashville, TN, USA","Nashville, TN, USA",
Rhyne Williams,USA,22 Mar 1991,1.85,Right-Handed,,,,384K €,"Tampa, Florida, USA","Knoxville, Tennessee",
Stefano Napolitano,ITA,11 Apr 1995,1.96,Right-Handed,191,277,12.2K €,400.4K €,"Besazio, Switzerland","Biella, Italy",152 in 12/06/2017
Nicolás Almagro,ESP,21 Aug 1985,1.83,Right-Handed,,,,9M €,"Murcia, Spain","Murcia, Spain",
Martin Pedersen,,,,,,,,,,,
Yasutaka Uchiyama,JPN,5 Aug 1992,1.83,Right-Handed,696,104,158.8K €,768.7K €,"Tokyo, Japan","Sapporo, Japan",78 in 04/11/2019
Simone Bolelli,ITA,8 Oct 1985,1.83,Right-Handed,65,500,,4.5M €,"Monte Carlo, Monaco","Bologna, Italy",36 in 23/02/2009
Giovanni Mpetshi Perricard,FRA,8 Jul 2003,,Right-Handed,3,1393,651 €,2.1K €,,,1377 in 14/09/2020
Juan Montes,,,,,,,,,,,
Naoki Nakagawa,JPN,19 Nov 1996,1.8,Right-Handed,30,693,1.4K €,32.7K €,"Bradenton, FL, USA","Fukuoka, Japan",531 in 24/07/2017
Alexander Zverev,GER,20 Apr 1997,1.98,Right-Handed,5525,7,2.1M €,18.8M €,"Monte Carlo, Monaco","Hamburg, Germany",3 in 06/11/2017
Treat Conrad Huey,,,,,,,,,,,
Philipp Petzschner,GER,24 Mar 1984,1.85,Right-Handed,,,,3.4M €,"Pulheim, Germany","Bayreuth, Germany",
Alexandre Muller,FRA,1 Feb 1997,1.83,Right-Handed,302,207,24.4K €,216.2K €,France,"Poissy, France",226 in 13/01/2020
Fernando Romboli,BRA,4 Jan 1989,1.8,Right-Handed,,,,192.1K €,"Guaruja, Brazil","Rio de Janeiro, Brazil",
Lucas Renard,SWE,30 Sep 1992,1.85,Right-Handed,9,1037,215 €,32.9K €,"Stockholm, Sweden","Stockholm, Sweden",672 in 18/03/2013
Sekou Bangoura,USA,18 Nov 1991,1.83,Right-Handed,121,347,4K €,238.1K €,"Bradenton, FL, USA","Bradenton, FL, USA",213 in 31/10/2016
Nicolás Álvarez Varona,ESP,18 May 2001,1.88,Right-Handed,48,572,3K €,17K €,Burgos,Burgos,587 in 28/09/2020
Marcos Giron,USA,24 Jul 1993,1.8,Right-Handed,869,73,214.1K €,612.1K €,"Thousand Oaks,California,USA","Thousand Oaks, CA, USA",93 in 14/09/2020
Stefan Kozlov,USA,1 Feb 1998,1.83,Right-Handed,110,369,7K €,423.6K €,"Pembroke Pines, FL, USA","Skopje, Macedonia",115 in 20/02/2017
David Volfson,CAN,14 Sep 1997,,Right-Handed,17,862,562 €,24.2K €,,"Toronto, Canada",839 in 24/02/2020
Xiao Gong,,,,,,,,,,,
Hugo Grenier,FRA,23 Mar 1996,1.96,Right-Handed,214,255,10K €,93.3K €,"Montbrison, France","Montbrison, France",237 in 02/03/2020
Mubarak Shannan Zayid,QAT,14 Apr 1995,,Right-Handed,,,10.5K €,51.2K €,,,
Benoît Paire,FRA,8 May 1989,1.96,Right-Handed,1738,28,352K €,6.9M €,"Geneva, Switzerland","Avignon, France",18 in 11/01/2016
George Coupland,,,,,,,,,,,
Ugo Nastasi,,,,,,,,,,,
Nicolas Meister,USA,15 May 1989,1.8,Right-Handed,,,,109.6K €,Dallas,Santa Ana,
Oliver Golding,GBR,29 Sep 1993,1.88,Right-Handed,,,,83.1K €,"Richmond, England","Richmond, England",
Stanislav Vovk,,,,,,,,,,,
Kacper Zuk,POL,21 Jan 1999,1.83,Right-Handed,209,262,49.5K €,82.4K €,Nowy Dwor Mazowiecki,"Nowy Dwor Mazowiecki, Poland",276 in 21/09/2020
Kimmer Coppejans,BEL,7 Feb 1994,1.8,Right-Handed,353,179,66.1K €,517.5K €,"Lummen, Belgium","Oostende, Belgium",97 in 22/06/2015
Lorenzo Sonego,ITA,11 May 1995,1.91,Right-Handed,1568,33,238.8K €,1.3M €,"Turin, Italy","Turin, Italy",46 in 01/07/2019
Jean-Marc Werner,GER,21 Jun 1990,1.83,Right-Handed,,,,32.1K €,Germany,"Wuppertal, Germany",
Patrik Rosenholm,SWE,5 Mar 1988,1.78,Right-Handed,,,,82.2K €,"Lidingo, Sweden","Stockholm, Sweden",
Gonçalo Falcão,POR,22 Feb 1988,,Right-Handed,4,1321,130 €,43.1K €,"Lisboa, Cascais",Lisboa,961 in 30/01/2012
Juan Mónaco,ARG,29 Mar 1984,1.85,Right-Handed,,,,6.7M €,"Buenos Aires, Argentina","Tandil, Argentina",
Patrick Daciek,USA,9 Mar 1990,1.78,Right-Handed,,,,16.1K €,"Wesley Chapel, FL, USA","Linthicum, MD",
Daniel Cox,GBR,28 Sep 1990,1.7,Right-Handed,,,,221.5K €,"Lincoln, Great Britain","Lincoln, Great Britain",
Tobias Blomgren,,,,,,,,,,,
Harry Bourchier,AUS,24 Jan 1996,1.85,Right-Handed,135,324,17.3K €,113.3K €,"Hobart, Australia","Hobart, Australia",279 in 13/01/2020
Catalin-Ionut Gard,,,,,,,,,,,
Grigor Dimitrov,BUL,16 May 1991,1.91,Right-Handed,2260,19,587.3K €,15.6M €,"Monte Carlo, Monaco","Haskovo, Bulgaria",3 in 20/11/2017
Connor Smith,USA,19 Dec 1990,,Right-Handed,,,,72.4K €,,,
Daniel Mora,COL,21 Jun 1996,,Right-Handed,,,,11.3K €,,"Ibague, Colombia",
Yan Bai,CHN,21 May 1989,1.85,Right-Handed,213,256,12.6K €,284.6K €,"Shanghai, China","Nanjing, China",200 in 21/03/2016
Karue Sell,BRA,13 Nov 1993,1.83,Right-Handed,4,1258,,25.8K €,"Redondo Beach, CA, USA","Jaraguá do Sul, Brazil",371 in 30/07/2018
Dennis Novikov,USA,6 Nov 1993,1.93,Right-Handed,24,751,1.1K €,536.2K €,"San Jose, CA, USA","Moscow, Russia",119 in 15/08/2016
Ugo Humbert,FRA,26 Jun 1998,1.85,Left-Handed,1646,30,395.5K €,1.3M €,Luxembourg,"Metz, France",38 in 28/09/2020
Tom Kocevar-Desman,SLO,10 Jul 1990,1.8,Right-Handed,27,721,260 €,51.2K €,"Ljubljana, Slovenia","Ljubljana, Slovenia",349 in 17/08/2015
Manuel Sánchez,MEX,5 Jan 1991,1.83,Right-Handed,17,846,433 €,100.3K €,"Guadalajara, Mexico","San Luis Potosi, Mexico",455 in 18/03/2019
Steve Johnson,USA,24 Dec 1989,1.88,Right-Handed,870,72,210.6K €,5.3M €,"Redondo Beach, CA, USA","Orange, CA, USA",21 in 25/07/2016
Emil Ruusuvuori,FIN,2 Apr 1999,1.88,Right-Handed,796,86,181.2K €,249.8K €,"Helsinki, Finland","Helsinki, Finland",91 in 14/09/2020
Baptiste Crepatte,FRA,21 Sep 1994,1.85,Right-Handed,116,357,4.4K €,65.5K €,France,"Grenoble, France",276 in 12/08/2019
Philipp Klimov,,,,,,,,,,,
Nils Langer,GER,25 Jan 1990,1.93,Right-Handed,,,,174.1K €,"Affalterbach, Germany","Ludwigsburg, Germany",
Aldin Šetkić,BIH,21 Dec 1987,1.91,Right-Handed,68,498,1.7K €,364.1K €,Brusells,"Sarajevo, Bosnia & Herzegovina",165 in 16/10/2017
Cem Ilkel,TUR,21 Aug 1995,1.83,Right-Handed,260,219,29K €,281K €,"Istanbul, Turkey","Istanbul, Turkey",195 in 02/03/2020
Alejandro González,COL,7 Feb 1989,1.91,Right-Handed,82,444,2.3K €,941K €,"Medellin, Colombia","Medellin, Colombia",70 in 09/06/2014
Zdeněk Kolář,CZE,9 Oct 1996,1.85,Right-Handed,250,231,25.7K €,287.6K €,"Bystrice nad Pernstejnem, CZE","Bystrice nad Pernstejnem, CZE",208 in 27/08/2018
Petr Michnev,CZE,3 Aug 1989,1.88,Right-Handed,19,825,580 €,77.9K €,"Ostrava, Czech Republic","Ostrava, Czech Republic",229 in 07/08/2017
Luca Giacomini,ITA,24 Oct 1997,1.7,Right-Handed,31,680,1.1K €,22.8K €,"Rubano, Italy","Padova, Italy",461 in 15/07/2019
João Domingues,POR,5 Oct 1993,1.78,Right-Handed,364,176,46.7K €,298K €,"Porto, Portugal","Oliveira de Azemeis, Portugal",150 in 24/02/2020
Alexander Crnokrak,AUS,24 Jan 2000,1.91,Right-Handed,33,663,1.9K €,23.7K €,Australia,Gold Coast,647 in 24/08/2020
Oscar Mesquida Berg,ESP,7 May 1996,1.83,Right-Handed,3,1348,130 €,7.7K €,Ciutadella de Menorca,Ciutadella de Menorca,1173 in 20/07/2015
Jurij Rodionov,AUT,16 May 1999,1.91,Left-Handed,455,142,29.3K €,138.2K €,"Matzen, Austria","Nuremberg, Germany",166 in 16/03/2020
Gonzalo Escobar,ECU,20 Jan 1989,1.78,Left-Handed,87,431,2.1K €,182.2K €,"Manta, Ecuador","Manta, Ecuador",281 in 15/06/2015
Alexander Cozbinov,MDA,28 Apr 1995,1.88,Right-Handed,24,754,13.6K €,35.9K €,"Las Vegas, USA","Chisinau, Moldova",743 in 02/03/2020
Pedro Martínez,ESP,26 Apr 1997,1.85,Right-Handed,800,85,378K €,703.3K €,"Valencia, Spain","Alzira, Spain",92 in 19/10/2020
Yuki Mochizuki,JPN,23 Nov 1997,1.73,Right-Handed,39,616,433 €,21K €,,"Osaka, Japan",566 in 25/11/2019
Filip Bergevi,SWE,20 Apr 1994,1.85,Right-Handed,26,733,1K €,30.3K €,Sweden,"Kristianstad, Sweden",568 in 21/10/2019
Richard Bloomfield,,,,,,,,,,,
Ilya Ivashka,BLR,24 Feb 1994,1.93,Right-Handed,674,107,87.5K €,774.2K €,"Minsk, Belarus","Minsk, Belarus",80 in 04/02/2019
Oscar Moraing,GER,,,,3,1366,,,,,
Pascal Brunner,AUT,11 Jun 1989,1.8,Right-Handed,,,,57.7K €,"Neufeld, Austria","Modling, Austria",
Go Soeda,JPN,5 Sep 1984,1.78,Right-Handed,490,133,173.8K €,1.9M €,"Tokyo, Japan","Kanagawa, Japan",47 in 23/07/2012
Belgium,,,,,,,,,,,
Dimitar Kutrovsky,BUL,27 Aug 1987,1.75,Right-Handed,,,,65.7K €,"Austin, Texas","Sofia, Bulgaria",
Dustin Brown,GER,8 Dec 1984,1.96,Right-Handed,209,261,16.3K €,2.4M €,"Winsen, Germany","Celle, Germany",64 in 10/10/2016
Clement Larriere,FRA,21 May 1997,1.91,Right-Handed,,,215 €,14.4K €,Calas,Martigues,
Hicham Khaddari,,,,,,,,,,,
Egor Gerasimov,BLR,11 Nov 1992,1.96,Right-Handed,834,78,309.8K €,899.6K €,"Belarus, Minsk","Minsk, Belarus",65 in 24/02/2020
Marc Gicquel,,,,,,,,,,,
Alexis Galarneau,CAN,2 Mar 1999,1.8,Right-Handed,64,507,542 €,30.8K €,"Laval, Canada","Laval, Canada",386 in 17/06/2019
Flavio Cobolli,ITA,6 May 2002,,Right-Handed,14,904,3.6K €,8.2K €,Rome,Florence,904 in 13/01/2020
Tom Schonenberg,,,,,,,,,,,
Jonathan Mridha,SWE,8 Apr 1995,1.83,Right-Handed,48,575,1.1K €,41.2K €,"Stockholm, Sweden","Stockholm, Sweden",508 in 20/11/2017
Karim-Mohamed Maamoun,EGY,9 Apr 1991,1.75,Right-Handed,102,390,4.3K €,142.5K €,Egypt,"Giza, Egypt",225 in 02/10/2017
Louis Wessels,GER,27 Aug 1998,1.98,Right-Handed,80,451,1.2K €,71.1K €,"Detmold, Germany","Bielefeld, Germany",320 in 26/11/2018
Brandon Nakashima,USA,3 Aug 2001,1.85,Right-Handed,387,166,115.5K €,150.7K €,United States,"San Diego, CA, USA",199 in 14/09/2020
Jan Choinski,GBR,10 Jun 1996,1.96,Right-Handed,122,346,,124.4K €,Germany,"Koblenz, Germany",234 in 16/04/2018
Ilija Bozoljac,SRB,2 Aug 1985,1.93,Right-Handed,,,,618.5K €,"Belgrade, Serbia","Aleksandrovac, Serbia",
Michael Lammer,,,,,,,,,,,
Juan Ignacio Iliev,,,,,,,,,,,
Márton Fucsovics,HUN,8 Feb 1992,1.88,Right-Handed,1062,55,441.1K €,2.7M €,"Budapest, Hungary","Nyiregyhaza, Hungary",31 in 04/03/2019
Richard Gabb,GBR,12 Feb 1992,1.75,Right-Handed,,,,67.1K €,Somerset,Taunton,
Mao Xin Gong,CHN,24 Aug 1987,1.78,Right-Handed,5,1195,,338.9K €,"Nanjing, China","Nanjing, China",294 in 31/01/2011
BU Yunchaokete,,,,,,,,,,,
Thiago Monteiro,BRA,31 May 1994,1.83,Left-Handed,804,84,199.9K €,1.2M €,"Rio de Janeiro, Brazil","Fortaleza, Brazil",74 in 27/02/2017
Brian Shi,USA,24 Feb 2000,,,,,,1.6K €,,,
Aleksandar Vukić,AUS,6 Apr 1996,1.88,Right-Handed,331,195,47.8K €,118.7K €,"Sydney, Australia","Sydney, Australia",190 in 14/09/2020
Thomaz Bellucci,BRA,30 Dec 1987,1.88,Left-Handed,178,282,6.2K €,4.5M €,"Sao Paulo, Brazil","Tiete, Brazil",21 in 26/07/2010
Viktor Troicki,SRB,10 Feb 1986,1.93,Right-Handed,323,201,162.5K €,7.6M €,"Monte Carlo, Monaco","Belgrade, Serbia",12 in 06/06/2011
Skander Mansouri,TUN,23 Jul 1995,1.93,Right-Handed,102,392,3.4K €,62.6K €,Tunsia,"Tunis, Tunisia",303 in 18/11/2019
Felipe Meligeni Rodrigues Alves,BRA,19 Feb 1998,1.85,Right-Handed,224,242,17.7K €,83K €,São José dos Campos,"Campinas, Brazil",300 in 28/09/2020
Robert Lindstedt,,,,,,,,,,,
Isade Juneau,,,,,,,,,,,
Pablo Carreño Busta,ESP,12 Jul 1991,1.88,Right-Handed,2535,16,1.1M €,8.7M €,"Barcelona, Spain","Gijon, Spain",10 in 11/09/2017
Enrique López-Pérez,ESP,3 Jun 1991,1.8,Right-Handed,,,,418.1K €,"Madrid, Spain","Madrid, Spain",
Victor Hanescu,ROU,21 Jul 1981,1.98,Right-Handed,,,,3.6M €,"Bucharest, Romania","Bucharest, Romania",
Juan Sebastián Cabal,,,,,,,,,,,
Magnus Eriksson,,,,,,,,,,,
Sebastian Buehler,,,,,,,,,,,
Tiago Cação,POR,28 Feb 1998,1.85,Right-Handed,56,543,3.5K €,41.9K €,Peniche,Peniche,394 in 17/12/2018
Damon Gooch,,,,,,,,,,,
Karl Poling,USA,4 Aug 1999,,,,,,1.6K €,,,
Keivon Tabrizi,,23 Jul 1996,1.8,Right-Handed,3,1782,,9.4K €,"Danville, California","Fresno, California",1091 in 10/11/2014
Jessy Kalambay,,,,,,,,,,,
Victor Vlad Cornea,ROU,24 Sep 1993,1.98,Left-Handed,14,907,573 €,41.9K €,"Sibiu, Romania","Sibiu, Romania",786 in 22/06/2015
Runhao Hua,CHN,6 Mar 1996,1.85,Right-Handed,30,691,690 €,46.8K €,China,"Shanghai, China",617 in 27/05/2019
Sanchai Ratiwatana,,,,,,,,,,,
Alexander Ritschard,USA,24 Mar 1994,1.93,Right-Handed,164,298,8.9K €,57.9K €,USA,"Zürich, Switzerland",299 in 28/09/2020
Tommy Haas,GER,3 Apr 1978,1.88,Right-Handed,,,,11.3M €,"Bradenton & Los Angeles, USA","Hamburg, Germany",
Maxime Janvier,FRA,18 Oct 1996,1.96,Right-Handed,293,210,29.2K €,338.2K €,"Gouvieux, France","Creil, France",170 in 30/09/2019
Sidharth Rawat,IND,21 Apr 1993,1.75,Right-Handed,78,457,3.8K €,56.8K €,"Noida, India","New Delhi, India",430 in 07/01/2019
Evgeny Korolev,,,,,,,,,,,
John Millman,AUS,14 Jun 1989,1.83,Right-Handed,1421,38,466.9K €,3.3M €,"Brisbane, Australia","Brisbane, Australia",33 in 15/10/2018
Austin Karosi,,,,,,,,,,,
Trent Bryde,USA,24 Aug 1999,1.8,Right-Handed,6,1163,,14K €,"Suwanee, Georgia USA","Atlanta, GA, USA",625 in 24/12/2018
Tobias Kamke,GER,21 May 1986,1.78,Right-Handed,246,235,31.1K €,2M €,"Hamburg, Germany","Lubeck, Germany",64 in 31/01/2011
Henri Laaksonen,SUI,31 Mar 1992,1.85,Right-Handed,477,135,36.9K €,1.1M €,"Glattpark, Switzerland","Lohja, Finland",93 in 07/08/2017
Paolo Lorenzi,ITA,15 Dec 1981,1.83,Right-Handed,450,144,136.3K €,4.2M €,"Sarasota, FL, USA","Rome, Italy",33 in 15/05/2017
Admir Kalender,,,,,,,,,,,
Mert Alkaya,TUR,14 Jun 2000,,,3,1450,605 €,5.8K €,,,1356 in 20/08/2018
Stefano Travaglia,ITA,28 Dec 1991,1.85,Right-Handed,869,74,425.5K €,1.1M €,"Ascoli Piceno, Italy","Ascoli Piceno, Italy",70 in 12/10/2020
Martin Vaisse,FRA,11 Aug 1987,,,,,,45.4K €,,,
Blake Ellis,AUS,6 Jan 1999,1.91,Right-Handed,12,961,1.2K €,76.7K €,Brisbane,Brisbane,348 in 11/02/2019
Maxime Chazal,FRA,24 Apr 1993,1.75,Right-Handed,95,405,130 €,121.6K €,"Nouméa, New Caledonia",Nouméa,234 in 07/03/2016
Quinton Vega,,,,,,,,,,,
Alexios Halebian,USA,8 Jun 1994,,Left-Handed,,(3),1K €,54.7K €,,,515 in 06/06/2016
Duckhee Lee,KOR,29 May 1998,1.75,Right-Handed,193,274,21.2K €,332.9K €,"Jecheon, South Korea","Jecheon, South Korea",130 in 10/04/2017
Kiranpal Pannu,NZL,7 Jan 1997,,,4,1276,1.3K €,3.9K €,,,1240 in 17/02/2020
Adam Thornton-Brown,,,,,,,,,,,
Albert Montañés,ESP,26 Nov 1980,1.75,Right-Handed,,,,4.9M €,"Barcelona, Spain",Sant Carles de la Rapita,
Teimuraz Gabashvili,RUS,23 May 1985,1.85,Right-Handed,192,275,63.3K €,3.5M €,"Moscow, Russia","Tbilisi, Georgia",43 in 01/02/2016
YU Hsiou Hsu,TPE,2 Apr 1999,1.78,Right-Handed,71,481,2.5K €,45.6K €,Changhwa,Changhwa,458 in 24/08/2020
Oscar Otte,GER,16 Jul 1993,1.93,Right-Handed,467,139,46.3K €,446K €,"Cologne, Germany","Cologne, Germany",129 in 16/10/2017
Jason Jeremy Hildebrandt,,,,,,,,,,,
Chandril Sood,IND,20 Feb 1991,1.65,Right-Handed,3,1334,,26.1K €,"Ghaziabad, India","Ludhiana, India",908 in 21/12/2015
Adham Gaber,,,,,,,,,,,
Wesley Koolhof,,,,,,,,,,,
Austin Smith,,,,,,,,,,,
Mateus de Carvalho Cardoso Alves,BRA,23 Jan 2001,1.91,Right-Handed,55,545,4.8K €,21K €,"Rua José Moreira Filho, 264",São José do Rio Preto,615 in 17/02/2020
Juan Pablo Paz,ARG,4 Jan 1995,1.7,Right-Handed,36,638,4.4K €,89.7K €,,,284 in 08/05/2017
Carlos Salamanca,COL,15 Jan 1983,1.96,Left-Handed,,,,281.9K €,"Bogota, Colombia","Bogota, Colombia",
Michail Pervolarakis,GRE,6 Jun 1996,1.93,Right-Handed,80,452,15.2K €,43K €,"Limassol, Cyprus","Limassol, Cyprus",409 in 10/02/2020
